No,Name,Kapasitas,Harga,Jarak,Banyak,Rating
1,"Rsia Bantuan 05.08.05 Surabaya
                    
                        

",456,1041,1,7,3
2,"Rumkitalmar Ewa Pangalila
                    
                        

",120,555,2,18,3
3,"Rumkit Soemitro Lanud Mulyono
                    
                        

",433,534,7,21,3
4,"RSUD Bhakti Dharma Husada
                    
                        

",199,487,9,9,4
5,"Rumkital Dr. Oepomo
                    
                        

",180,56,5,6,4
6,"RS Bunda
                    
                        

",397,197,6,26,3
7,"Rumah Sakit Mata Undaan
                    
                        

",64,721,3,8,4
8,"RS Airlangga
                    
                        

",429,880,3,24,4
9,"RS Wijaya
                    
                        

",34,371,2,0,4
10,"RS Royal
                    
                        

",166,450,2,21,5
11,"RS Bhakti Rahayu
                    
                        

",18,345,0,17,4
12,"RS Darus Syifa
                    
                        

",176,815,6,7,5
13,"RS Wiyung Sejahtera
                    
                        

",355,738,5,3,4
14,"RS William Booth Surabaya
                    
                        

",37,426,7,1,3
15,"RSK BEDAH Surabaya
                    
                        

",11,184,5,27,3
16,"Siloam Hospitals Surabaya
                    
                        

",57,803,0,26,4
17,"Rsia Perdana Medica
                    
                        

",245,515,6,24,4
18,"RS Husada Utama
                    
                        

",30,709,5,10,3
19,"Rsia Putri Surabaya
                    
                        

",415,519,7,21,5
20,"RS Adi Husada Kapasari
                    
                        

",318,820,9,20,4
21,"RSIA Nur Ummi Numbi
                    
                        

",154,974,3,1,5
22,"RS Surabaya Medical Service
                    
                        

",438,975,4,27,5
23,"Rsia Graha Medika
                    
                ",80,952,5,19,3
24,"Rsia Lombok Dua Dua Lontar
                    
                ",43,218,8,26,3
25,"RS Gotong Royong
                    
                ",418,814,1,10,4
26,"RS Pku Muhammadiyah Surabaya
                    
                ",197,238,5,1,5
27,"RSUD Dr Soetomo Surabaya
                    
                        

",303,675,2,4,5
28,"RS Haji Surabaya
                    
                        

",213,404,8,10,3
29,"Rsj Daerah Menur Surabaya
                    
                        

",101,563,7,22,4
30,"RS Islam Jemursari Surabaya
                    
                        

",272,150,10,19,5
31,"RS Phc
                    
                        

",80,166,6,29,5
32,"RSAL Dr.Ramelan Surabaya
                    
                        

",148,119,5,12,3
33,"RSUD Dr M Soewandhie
                    
                        

",360,258,6,27,4
34,"RSAD Brawijaya Surabaya
                    
                        

",174,382,0,11,4
35,"RS Bhayangkara Surabaya
                    
                        

",391,662,3,26,4
36,"RS Khusus Paru Surabaya
                    
                        

",109,433,1,19,5
37,"RS Mata Masyarakat Surabaya
                    
                        

",114,466,10,18,4
38,"Al Irsyad
                    
                        

",148,277,2,27,5
39,"Rumah Sakit Muji Rahayu
                    
                        

",345,6,3,25,4
40,"RS Islam A Yani
                    
                        

",49,839,7,13,4
41,"Rsia Pura Raharja
                    
                        

",479,658,1,25,4
42,"Siwalankerto
                    
                        

",209,641,9,22,5
43,"Balas Klumprik 
                    
                        

",428,370,6,26,5
44,"Keputih 
                    
                        

",217,185,0,17,4
45,"Bangkingan 
                    
                        

",227,179,10,17,4
46,"Made 
                    
                        

",180,747,9,11,4
47,"Morokrembangan 
                    
                        

",451,161,0,15,4
48,"Tambak Wedi 
                    
                        

",122,499,5,29,4
49,"Bulak Banteng 
                    
                        

",19,590,9,5,4
50,"Kalijudan 
                    
                        

",54,371,7,10,4
51,"Sawah Pulo 
                    
                        

",481,919,6,22,4
52,"Pegirian 
                    
                        

",88,162,6,21,5
53,"Wonokusumo 
                    
                        

",254,935,5,11,5
54,"Sidotopo 
                    
                        

",469,968,10,20,3
55,"Perak Timur 
                    
                        

",181,329,3,8,4
56,"Tanjungsari 
                    
                        

",437,311,7,18,4
57,"Manukan Kulon 
                    
                        

",94,584,4,29,5
58,"Simomulyo 
                    
                        

",332,876,8,24,5
59,"Asemrowo 
                    
                        

",467,591,5,15,5
