No,Bersih,Parkir,Ramah,Murah,Cepat,Dekat
1,1,1,0,0,0,0
2,1,1,1,0,0,0
3,1,0,0,0,0,0
4,0,1,0,0,1,0
5,1,1,0,1,1,1
6,1,1,0,1,1,0
7,0,1,1,1,1,0
8,1,1,0,1,0,1
9,1,1,0,1,1,1
10,1,0,0,1,1,1
11,0,0,1,1,1,0
12,1,1,1,1,1,0
13,1,1,1,1,1,1
14,1,0,1,1,1,1
15,1,1,1,0,0,0
16,1,0,1,1,1,0
17,1,0,0,1,1,0
18,1,1,1,1,1,0
19,0,1,0,1,0,0
20,0,0,0,1,1,0
21,0,1,0,1,1,1
22,0,0,1,1,0,1
23,0,1,1,1,1,1
24,0,1,0,1,1,0
25,0,0,0,0,0,1
26,0,1,0,0,1,0
27,1,0,0,0,1,1
28,1,0,1,1,0,0
29,0,0,1,1,0,1
30,1,0,1,1,0,0
31,1,1,0,0,0,1
32,1,1,1,0,1,0
33,0,1,1,0,1,0
34,1,0,1,0,0,1
35,1,0,1,1,0,0
36,0,1,1,0,1,0
37,0,0,0,1,0,1
38,0,1,0,1,0,1
39,1,0,0,1,1,0
40,1,0,1,1,0,1
41,1,1,0,1,0,1
42,1,1,0,1,1,0
43,1,1,1,0,1,1
44,1,0,0,0,0,1
45,1,1,1,0,0,1
46,1,0,1,1,0,0
47,0,1,0,0,1,1
48,1,1,0,1,1,0
49,0,0,1,0,0,0
50,1,0,1,0,1,0
51,1,1,1,1,0,0
52,0,0,1,1,0,0
53,1,0,1,0,0,0
54,1,1,1,1,1,1
55,1,0,0,1,1,1
56,0,0,1,0,1,1
57,0,0,0,0,0,0
58,0,0,0,0,1,0
59,0,1,1,1,1,1
